condition,drugName
Vitamin/Mineral Supplementation during Pregnancy/Lactation,"Multivitamin, prenatal"
Otitis Media,Omnicef
Pain,Embeda
Atopic Dermatitis,Triamcinolone
Gout,Uloric
Hypersomnia,Caffeine
Sciatica,Arthrotec
Osteoarthritis,Sodium hyaluronate
Birth Control,Zarah
High Blood Pressure,Benicar HCT
Edema,Hydrochlorothiazide / spironolactone
Migraine,Sumavel DosePro
Primary Immunodeficiency Syndrome,Immune globulin subcutaneous
Rheumatoid Arthritis,Certolizumab
Emergency Contraception,Aftera
ADHD,Pemoline
Cough,Delsym
Osteoarthritis,Capzasin-HP
Eczema,Topicort
Atrial Fibrillation,Carvedilol
Breakthrough Pain,Actiq
Obesity,Phendimetrazine
Seizures,Mysoline
Alcohol Dependence,Acamprosate
Pneumococcal Disease Prophylaxis,Prevnar 13
High Blood Pressure,Doxazosin
Anxiety,Vistaril
Benign Prostatic Hyperplasia,Rapaflo
Migraine Prevention,Vitamin B2
Multiple Sclerosis,Acthar
Migraine,Memantine
Birth Control,Heather
Prevention of Thromboembolism in Atrial Fibrillation,Apixaban
Allergic Rhinitis,Patanase
"Diabetes, Type 2",Januvia
Smoking Cessation,Nicotine
Depression,S-adenosylmethionine
High Cholesterol,Zetia
Rheumatoid Arthritis,Feldene
Prevention of Thromboembolism in Atrial Fibrillation,Pradaxa
HIV Infection,Abacavir / dolutegravir / lamivudine
Pseudobulbar Affect,Dextromethorphan / quinidine
Pain,Acetaminophen / tramadol
Acne,Tazarotene
Eye Redness/Itching,Opcon-A
Pain,Ketoprofen
Rheumatoid Arthritis,Golimumab
Anxiety and Stress,Kava
Birth Control,Loestrin Fe 1.5 / 30
Pulmonary Hypertension,Letairis
Malaria,Coartem
HIV Infection,Complera
,ProAir HFA
Allergic Rhinitis,Nasacort
Hemorrhoids,Pramoxine
Bacterial Vaginitis,Clindesse
High Blood Pressure,Cozaar
Dietary Supplementation,Multivitamin
Light Sedation,Chlorpromazine
Atopic Dermatitis,Protopic
Migraine,Migranal
Osteoporosis,Teriparatide
Migraine,Dihydroergotamine
Hypokalemia,Potassium chloride
Birth Control,Chateal
Abnormal Uterine Bleeding,Quasense
Panic Disorde,Anafranil
"Asthma, Maintenance",Advair Diskus
Depression,Nefazodone
Urinary Incontinence,Ditropan
Birth Control,Taytulla
Atopic Dermatitis,Kenalog
Anxiety,Tenormin
Multiple Sclerosis,Rebif
Multiple Sclerosis,Copaxone
Birth Control,Generess Fe
"Anemia, Sickle Cell",Hydroxyurea
Uveitis,Retisert
Not Listed / Othe,Alfuzosin
Cold Sores,Penciclovir
Plaque Psoriasis,Betamethasone / calcipotriene
Hot Flashes,Brisdelle
ADHD,Dyanavel XR
Rhinitis,Allerx Dose Pack DF
Sinusitis,Deltasone
"Diabetes, Type 2",Amaryl
Rosacea,Soolantra
ibromyalgia,Mucinex
ibromyalgia,Desyrel
Allergies,Levocetirizine
HIV Infection,Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide
HIV Infection,Lopinavir / ritonavir
"Diabetes, Type 2",Byetta
High Blood Pressure,Catapres-TTS
Allergic Rhinitis,Chlorpheniramine
HIV Infection,Sustiva
Insomnia,Zaleplon
"Diabetes, Type 2",Farxiga
"Diabetes, Type 2",Janumet
Birth Control,Lo / Ovral-28
Breast Cance,Docetaxel
"Diabetes, Type 2",Lantus Solostar
Tinea Corporis,Oxistat
Depression,Selegiline
Renal Cell Carcinoma,Sunitinib
Pain,Levorphanol
Cough,Cheratussin AC
COPD,Umeclidinium / vilanterol
Non-Small Cell Lung Cance,Erlotinib
Osteoporosis,Forteo
Birth Control,Seasonale
Rheumatoid Arthritis,Actemra
Biliary Cirrhosis,Urso Forte
Back Pain,Aspirin
Bipolar Disorde,Zyprexa Zydis
Plaque Psoriasis,Cosentyx
Constipation,MiraLax
Headache,Esgic
"Non-Hodgkin's Lymphoma",Rituximab
Asthma,Fluticasone / vilanterol
Atopic Dermatitis,Tacrolimus
Osteoarthritis,Supartz
Obesity,Tenuate
"Asthma, Maintenance",Beclomethasone
High Cholesterol,Fenofibric acid
Pain,Panlor SS
"Constipation, Drug Induced",Methylnaltrexone
High Blood Pressure,Benicar
Hepatitis C,Sofosbuvir / velpatasvir
Pain,Methadose
Psoriasis,Calcitriol
HIV Infection,Emtricitabine / rilpivirine / tenofovir
Obesity,Didrex
ADHD,Dextroamphetamine
Pain,Codeine
"Onychomycosis, Toenail",Kerydin
Restless Legs Syndrome,Requip
Breast Cance,Arimidex
Helicobacter Pylori Infection,Pylera
Pain,Zohydro ER
Carcinoid Tum,Octreotide
Bowel Preparation,GoLYTELY
Insomnia,Eszopiclone
Prostate Cance,Bicalutamide
Acne,Benzoyl peroxide / erythromycin
Postmenopausal Symptoms,Estradiol / levonorgestrel
Postmenopausal Symptoms,Evamist
"Diabetes, Type 2",Glipizide
Irritable Bowel Syndrome,Dicyclomine
Birth Control,Tarina Fe 1 / 20
Bipolar Disorde,Trileptal
Constipation,Magnesium citrate
"High Cholesterol, Familial Heterozygous",Rosuvastatin
Benign Essential Trem,Primidone
Birth Control,Yasmin
Bronchitis,Cefprozil
"Parkinson's Disease",Comtan
Hypertriglyceridemia,Omega-3 polyunsaturated fatty acids
Depression,Oleptro
High Blood Pressure,Atacand
,Namenda XR
Anxiety,Xanax XR
Human Papillomavirus Prophylaxis,Human papillomavirus vaccine
Sinusitis,Amoxil
Psoriasis,Clobex
"Conjunctivitis, Allergic",Bepotastine
Atrial Fibrillation,Propafenone
Plaque Psoriasis,Siliq
HIV Infection,Prezcobix
High Blood Pressure,Telmisartan
Atopic Dermatitis,Cloderm
Pain,Roxicodone
Dietary Supplementation,Ubiquinone
Muscle Spasm,Robaxin
Cold Sores,Sitavig
Constipation,Dulcolax Laxative
Pain,Flector Patch
Hepatitis C,Ribavirin
Chronic Pain,Ultram ODT
Nocturnal Leg Cramps,Quinine
GERD,Aluminum hydroxide / magnesium trisilicate
"COPD, Maintenance",Ipratropium
Allergic Reactions,Dexchlorpheniramine
Cold Symptoms,Ephedrine / guaifenesin
Acne,Claravis
Bowel Preparation,GaviLyte-C
Pupillary Dilation,Hydroxyamphetamine / tropicamide
Dietary Supplementation,MCT
Lennox-Gastaut Syndrome,Onfi
COPD,Anoro Ellipta
Osteoarthritis,Hylan g-f 20
Acne,Acanya
Opiate Dependence,Vivitrol
Urinary Incontinence,Gelnique
"Crohn's Disease",Entyvio
Motion Sickness,Dramamine
HIV Infection,Stribild
Depression,Desipramine
Bronchitis,Biaxin
Prostate Cance,Casodex
HIV Infection,Maraviroc
Cerebral Spasticity,Gablofen
Chronic Pain,OxyContin
Rosacea,Ivermectin
Cough,Chlorpheniramine / hydrocodone
Lipodystrophy,Egrifta
Androgenetic Alopecia,Propecia
Atrophic Vaginitis,Vagifem
Computed Tomography,Barium sulfate
Obstructive Sleep Apnea/Hypopnea Syndrome,Provigil
Biliary Cirrhosis,Ursodiol
High Blood Pressure,Cardizem LA
Nausea/Vomiting,Zofran ODT
Vitamin D Deficiency,Cholecalciferol
"Glaucoma, Open Angle",Tafluprost
Asthma,Singulair
"Nausea/Vomiting, Chemotherapy Induced",Granisetron
Seizures,Phenytoin
Non-Small Cell Lung Cance,Gilotrif
Nasal Congestion,Afrin
High Blood Pressure,Exforge
Acne,Benzaclin
Colorectal Cance,Xeloda
Psoriasis,Vectical
"Nausea/Vomiting, Chemotherapy Induced",Sancuso
Acne,Loestrin Fe 1 / 20
High Blood Pressure,Zestril
"Asthma, acute",Prednisolone
Chronic Myelogenous Leukemia,Dasatinib
Birth Control,Pimtrea
Upper Respiratory Tract Infection,Doxy 100
Anxiety,Tranxene
Cough,Codeine / promethazine
Nasal Congestion,Xylometazoline
Back Pain,Acetaminophen / pamabrom
Acne,Loryna
"Herpes Simplex, Suppression",Lysine
Narcolepsy,Ritalin-SR
Anesthesia,Emla
Pain,Nubain
Atrial Fibrillation,Digoxin
Rosacea,Clarifoam EF
Gouty Arthritis,Colchicine / probenecid
Urinary Tract Infection,Hyoscyamine / methenamine / methylene blue / phenyl salicylate
Pain,Anexsia
Insomnia,Unisom SleepTabs
Acne,NuOx
Motion Sickness,Bonine
Osteoarthritis,Synvisc-One
Bipolar Disorde,Iloperidone
Bronchitis,Septra
Birth Control,Vestura
Gaucher Disease,Cerezyme
Pain,Stadol
Cold Symptoms,Acetaminophen / chlorpheniramine / phenylephrine
Insomnia,Sominex
Systemic Lupus Erythematosus,Plaquenil
Seborrheic Dermatitis,Sulfacetamide sodium
Epilepsy,Perampanel
Menstrual Disorders,Gianvi
Chronic Pain,Methadone Diskets
Renal Cell Carcinoma,Pazopanib
Deep Vein Thrombosis,Fondaparinux
Bacterial Infection,Septra DS
Cough,Robitussin CoughGels Long-Acting
Irritable Bowel Syndrome,Chlordiazepoxide / clidinium
Cystic Fibrosis,Pancrelipase
Headache,Acetaminophen / diphenhydramine
Irritable Bowel Syndrome,Metamucil
Ulcerative Colitis,Sulfazine
Muscle Spasm,Skelaxin
Depression,Imipramine
Cough,Tessalon Perles
Multiple Sclerosis,Teriflunomide
Osteoarthritis,Pennsaid
Irritable Bowel Syndrome,HyoMax SL
Allergies,Zymine
Osteoarthritis,Esomeprazole / naproxen
Gout,Allopurinol
Alcohol Dependence,Disulfiram
Uveitis,Difluprednate
ADHD,Methylin ER
Iron Deficiency Anemia,Venofer
Headache,Ascomp with Codeine
Rosacea,Azelaic acid
Hiccups,Thorazine
"Nausea/Vomiting, Chemotherapy Induced",Dronabinol
Bronchospasm Prophylaxis,Formoterol
Eye Redness,Prefrin
Dermatitis,Verdeso
"Conjunctivitis, Bacterial",Tobramycin
Chronic Pain,Belbuca
Birth Control,Safyral
Irritable Bowel Syndrome,Hyoscyamine
min / saxagliptin),Metformin / saxagliptin
Restless Legs Syndrome,Sinemet
"COPD, Maintenance",Combivent
Cold Sores,Zovirax Cream
Seizures,Keppra XR
Dry Eye Disease,Xiidra
Stomach Ulce,Axid AR
Lennox-Gastaut Syndrome,Clobazam
"Asthma, Maintenance",Cromolyn
HIV Infection,Triumeq
High Cholesterol,Pitavastatin
"COPD, Maintenance",Roflumilast
High Blood Pressure,Nitro-Dur
Muscle Pain,Aspirin / caffeine / orphenadrine
Restless Legs Syndrome,Rotigotine
Birth Control,Ortho-Novum 1 / 35
Keratoconjunctivitis Sicca,Cyclosporine
Heart Failure,Isosorbide mononitrate
Edema,Bumex
ADHD,Dexedrine
Underactive Thyroid,Synthroid
Pain,Acetaminophen / codeine
Herpes Simplex Dendritic Keratitis,Zirgan
Arrhythmia,Tikosyn
Acne,Benzoyl peroxide
Insomnia,Doxylamine
Insomnia,Simply Sleep
"Diabetes, Type 2",Insulin lispro
Migraine,Caffeine / ergotamine
Bipolar Disorde,Cariprazine
Pain,Aspirin / caffeine / salicylamide
Cough and Nasal Congestion,Mucinex D Maximum Strength
Cold Symptoms,Drixoral Cold and Allergy
"Conjunctivitis, Allergic",Pemirolast
Diarrhea,Loperamide
Postherpetic Neuralgia,Gralise
High Blood Pressure,Ziac
Dry Eye Disease,Lifitegrast
"Diabetes, Type 2",Onglyza
Pulmonary Hypertension,Tyvaso
"Diabetes, Type 2",Rosiglitazone
"Hypogonadism, Male",Testopel
Chronic Pain,Subsys
Atopic Dermatitis,Medrol Dosepak
Helicobacter Pylori Infection,Prevpac
Nausea/Vomiting,Emetrol
Muscle Spasm,Orphenadrine
"Onychomycosis, Toenail",Lamisil
Seizure Prevention,Topiragen
Chronic Lymphocytic Leukemia,Imbruvica
"Asthma, acute",Albuterol
Birth Control,Microgestin Fe 1.5 / 30
"Diabetes, Type 2",Prandin
Postmenopausal Symptoms,Conjugated estrogens / medroxyprogesterone
Pain,Propoxyphene
Psoriasis,Acitretin
Allergic Rhinitis,Fexofenadine / pseudoephedrine
Rheumatoid Arthritis,Leflunomide
Pain,Diflunisal
Urinary Tract Infection,Acetohydroxamic acid
Acne,Sulfacetamide sodium / sulfur
Obesity,Benzphetamine
High Blood Pressure,Hydrochlorothiazide / olmesartan
High Cholesterol,Niacin
Conjunctivitis,Gatifloxacin
ADHD,Amphetamine
"Onychomycosis, Toenail",Penlac
High Blood Pressure,Avalide
"High Cholesterol, Familial Homozygous",Evolocumab
"Asthma, Maintenance",Intal
Interstitial Cystitis,Elmiron
"Alzheimer's Disease",Donepezil
Headache,Aspirin / butalbital / caffeine / codeine
,Low-Ogestrel-21
Allergic Rhinitis,Brompheniramine
Migraine,Butalbital Compound
Intraocular Hypertension,Latanoprost
Migraine,Axert
Chronic Fatigue Syndrome,Amantadine
Migraine,Maxalt-MLT
"Diabetes, Type 2",Albiglutide
Melasma,Tri-Luma
Hepatitis C,Pegasys
Interstitial Cystitis,Pentosan polysulfate sodium
Alcohol Dependence,Antabuse
ge (amlodipine / valsartan),Amlodipine / valsartan
Constipation,Fleet Enema
Pain,Avinza
Irritable Bowel Syndrome,Zelnorm
Multiple Sclerosis,Fingolimod
Osteoarthritis,Bextra
Insomnia,Sonata
Upper Respiratory Tract Infection,Erythromycin
Irritable Bowel Syndrome,Symax Duotab
Ulcerative Colitis,Budesonide
Erectile Dysfunction,Levitra
"Diabetes, Type 2",Glimepiride
"Raynaud's Syndrome",Norvasc
Uveitis,Cyclopentolate
High Blood Pressure,Lotrel
Birth Control,Kariva
Labor Induction,Misoprostol
Irritable Bowel Syndrome,Bentyl
Opiate Dependence,Bunavail
"Conjunctivitis, Allergic",Alcaftadine
Cough and Nasal Congestion,Dextromethorphan / guaifenesin / phenylephrine
Birth Control,Ortho Micronor
Birth Control,Mibelas 24 Fe
Chronic Pancreatitis,Hi-Vegi-Lip
Hyperprolactinemia,Bromocriptine
Osteoporosis,Reclast
Cold Sores,Zovirax Ointment
Prevention of Thromboembolism in Atrial Fibrillation,Dabigatran
Allergic Rhinitis,Claritin
Insomnia,Zolpimist
Eczema,Desonide
,Tazorac
Nausea/Vomiting,Tigan
Obesity,Bontril PDM
Hepatitis C,Sofosbuvir
Migraine,Treximet
Helicobacter Pylori Infection,Aciphex
Allergic Rhinitis,Zyrtec
Skin and Structure Infection,Bactroban
Dermatological Disorders,Benzoic acid / salicylic acid
Constipation,Senna
Depression,Phenelzine
Edema,Lasix
Birth Control,Necon 1 / 50
GERD,Zantac
Alopecia,Kenalog-10
Malaria Prevention,Mefloquine
Pain,Magnacet
Anxiety,Clorazepate
Psoriasis,Calcipotriene
Malaria,Atovaquone / proguanil
Pain,Oramorph SR
Postoperative Pain,Toradol IV / IM
Cough and Nasal Congestion,Chlorpheniramine / hydrocodone / pseudoephedrine
Anesthesia,Diprivan
Pain,Exalgo
Muscle Spasm,Chlorzoxazone
Insomnia,Ambien CR
Hepatitis C,Victrelis
Epilepsy,Mebaral
Neurosurgery,Dilantin
Tinea Corporis,Econazole
Insomnia,Tylenol PM
Urinary Incontinence,Levsin SL
"Breast Cancer, Metastatic",Palbociclib
Chronic Pancreatitis,Creon
Pain,Nalbuphine
Macular Edema,Ranibizumab
High Blood Pressure,Tenex
Motion Sickness,Transderm-Scop
Birth Control,Gildess 24 Fe
Progesterone Insufficiency,Prometrium
Postherpetic Neuralgia,Gabapentin enacarbil
Hypertriglyceridemia,Omacor
Plaque Psoriasis,Ixekizumab
Cough and Nasal Congestion,Zutripro
Tinea Pedis,Naftifine
Bipolar Disorde,Epitol
Obsessive Compulsive Disorde,Luvox
Insomnia,Diphenhydramine / naproxen
Vaginal Yeast Infection,Clotrimazole
Chronic Myelogenous Leukemia,Imatinib
Birth Control,Lessina
Hypertriglyceridemia,Fenofibrate
Psoriasis,Ultravate
Diabetic Peripheral Neuropathy,Capsaicin
,Omeprazole / sodium bicarbonate
Diagnosis and Investigation,Lexiscan
Rheumatoid Arthritis,Xeljanz
Birth Control,Cyclafem 1 / 35
Bronchitis,Factive
Chronic Lymphocytic Leukemia,Rituxan
Pain,Menthol
Herbal Supplementation,Scullcap
Cough,Tussionex Pennkinetic
Gas,Gas-X
Rheumatoid Arthritis,Rheumatrex Dose Pack
Birth Control,Zovia
Renal Cell Carcinoma,Sutent
Local Anesthesia,Mepivacaine
Myasthenia Gravis,Pyridostigmine
Migraine,Amerge
"Asthma, acute",Xopenex
Cough and Nasal Congestion,Brompheniramine / dextromethorphan / pseudoephedrine
Underactive Thyroid,Levoxyl
High Blood Pressure,Hydralazine
Cough and Nasal Congestion,Dextromethorphan / guaifenesin / pseudoephedrine
"Sjogren's Syndrome",Evoxac
Rosacea,MetroGel
Multiple Sclerosis,Dimethyl fumarate
,Fluticasone / salmeterol
Bipolar Disorde,Eskalith
Headache,Fioricet with Codeine
Arrhythmia,Dofetilide
Acne,Tretin-X
Acute Coronary Syndrome,Effient
ADHD,Quillivant XR
Hirsutism,Vaniqa
Seborrheic Dermatitis,Coal tar
Dry Eye Disease,Lacrisert
Allergic Rhinitis,Nasacort Allergy 24HR
Headache,Acetaminophen / caffeine / isometheptene mucate
Insomnia,Dalmane
Benign Prostatic Hyperplasia,Terazosin
HIV Infection,Atazanavir
Insomnia,Benadryl Allergy
Myasthenia Gravis,Mestinon
Colorectal Cance,Bevacizumab
"Diabetes, Type 2",Insulin glulisine
Idiopathic Thrombocytopenic Purpura,WinRho SDF
Rheumatoid Arthritis,Sulindac
Hemorrhoids,Proctosol-HC
Depression,Tranylcypromine
Epilepsy,Felbatol
COPD,Olodaterol / tiotropium
"Crohn's Disease",Sulfasalazine
Diarrhea,Opium
Sinusitis,Cedax
Androgenetic Alopecia,Finasteride
Obesity,Meridia
Supraventricular Tachycardia,Adenosine
Premature Lab,Makena
Opiate Dependence,Subutex
"Asthma, Maintenance",Intal Inhaler
Pulmonary Hypertension,Selexipag
High Cholesterol,Lipitor
Precocious Puberty,Lupron Depot-PED
Obsessive Compulsive Disorde,Riluzole
Prostate Cance,Lupron
Local Anesthesia,Dibucaine
Acute Coronary Syndrome,Ticagrelor
Ulcerative Colitis,Azathioprine
Pain,Trezix
High Blood Pressure,Amlodipine / hydrochlorothiazide / olmesartan
Acne,Retin-A
Postmenopausal Symptoms,Angeliq
Prevention of Bladder infection,Macrodantin
Pseudobulbar Affect,Nuedexta
"Crohn's Disease, Acute",Entocort EC
Osteoporosis,Actonel
"Gout, Acute",Indocin
Pain,Magnesium salicylate
acial Wrinkles,Dermal filler
Pain,Acetaminophen / caffeine / dihydrocodeine
Muscle Spasm,Amrix
Hepatitis C,Simeprevir
Pain,Vicoprofen
"Diabetes, Type 2",Glimepiride / pioglitazone
Psoriasis,Desoximetasone
Birth Control,Necon 7 / 7 / 7
Migraine Prevention,Nadolol
Pneumonia,Linezolid
Allergic Rhinitis,Clarinex
"Glaucoma, Open Angle",Xalatan
Osteoarthritis,Salonpas Pain Patch
"Diabetes, Type 2",GlipiZIDE XL
Vertig,Diphenidol
"COPD, Maintenance",Perforomist
High Cholesterol,Livalo
Birth Control,Desogen
Prostate Cance,Zoladex
Breast Cance,Taxotere
High Blood Pressure,Candesartan
Deep Vein Thrombosis,Enoxaparin
"Diabetes, Type 2",ActoPlus Met
Migraine,Naratriptan
High Blood Pressure,Micardis
Anxiety,Pexeva
Birth Control,Cyred
Benign Prostatic Hyperplasia,Jalyn
Pain,Meperidine / promethazine
High Blood Pressure,Prinzide
"Parkinson's Disease",Rytary
Malaria Prevention,Daraprim
Nasal Congestion,Pseudoephedrine
Pruritus,Diphenhydramine / hydrocortisone
High Blood Pressure,Valturna
Clostridial Infection,Fidaxomicin
Dermatitis,Temovate
Prostate Cance,Xtandi
Bipolar Disorde,Fluoxetine / olanzapine
Dandruff,Salicylic acid / sulfur
High Blood Pressure,Hyzaar
Non-Small Cell Lung Cance,Tarceva
Vitamin B12 Deficiency,Cyanocobalamin
Cough,Homatropine / hydrocodone
Atrial Flutte,Cardizem
Iritis,Loteprednol
Insomnia,Somnote
Bacterial Skin Infection,A + D Cracked Skin Relief
"Alzheimer's Disease",Rivastigmine
Multiple Sclerosis,Interferon beta-1a
"Diabetes, Type 2",Actos
Depression,Paxil CR
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Ferrous sulfate
Abnormal Uterine Bleeding,Aygestin
Birth Control,Dienogest / estradiol
Babesiosis,Mepron
Urinary Incontinence,Enablex
Secondary Hyperparathyroidism,Cinacalcet
Osteoporosis,Alendronate
"Conjunctivitis, Bacterial",TobraDex
High Blood Pressure,Lotensin
GERD,Prilosec
Atopic Dermatitis,Elocon
Pain,Talwin
Performance Anxiety,Inderal
Alopecia,"Rogaine Women's"
Irritable Bowel Syndrome,Psyllium
Hemorrhoids,RectiCare
Erectile Dysfunction,Stendra
ADHD,Mydayis
Seizures,Vimpat
Skin Cance,Carac
Melasma,Fluocinolone / hydroquinone / tretinoin
Head Lice,Natroba
Liver Magnetic Resonance Imaging,Eovist
Hepatitis C,Daclatasvir
Osteoarthritis,Monovisc
Dermatitis,Alcortin A
Migraine,Excedrin
Restless Legs Syndrome,Horizant
Nasal Congestion,Nostrilla
Dermatological Disorders,Rea Lo 40
min),Empagliflozin / metformin
"Parkinson's Disease",Stalevo 200
"Diabetes, Type 2",Glucotrol
Irritable Bowel Syndrome,Atropine / hyoscyamine / phenobarbital / scopolamine
Vitamin/Mineral Supplementation and Deficiency,Multivitamin with minerals
Pain,Zorvolex
,Acetaminophen / pseudoephedrine
"Herpes Simplex, Mucocutaneous/Immunocompetent Host",Famciclovir
Anemia Associated with Chronic Renal Failure,Aranesp
Bladder Infection,Fosfomycin
GERD,Carafate
Eczema,Flurandrenolide
Pneumococcal Disease Prophylaxis,Pneumococcal 13-valent vaccine
Premature Lab,Terbutaline
Pain,Lidocaine Viscous
Not Listed / Othe,Ketoconazole
Cold Sores,Denavir
Hypoestrogenism,Estrace
Migraine,Imitrex Statdose
Bipolar Disorde,Vraylar
Premenstrual Dysphoric Disorde,Sarafem
Depression,Marplan
Seizures,Gabitril
High Blood Pressure,Atenolol / chlorthalidone
Rheumatoid Arthritis,Piroxicam
Erectile Dysfunction,Muse
Hyperphosphatemia of Renal Failure,Renvela
Hot Flashes,Evening Primrose Oil
High Cholesterol,Praluent
Pulmonary Hypertension,Revatio
Diarrhea,Lotronex
Acne,Zenatane
Bladder Infection,Methenamine
Heart Failure,Entresto
Cluster Headaches,Imitrex Nasal
Myasthenia Gravis,CellCept
Ulcerative Colitis,Apriso
Dry Eye Disease,Systane
Rheumatoid Arthritis,Orudis KT
Birth Control,Nortrel 7 / 7 / 7
High Blood Pressure,Micardis HCT
Sinus Symptoms,Advil Cold and Sinus
Dietary Supplementation,Biotin
Anal Fissure and Fistula,Nitroglycerin
Osteoarthritis,Vimovo
Headache,Acetaminophen / butalbital
"Conjunctivitis, Allergic",Bepreve
Hepatitis C,Incivek
Heart Attack,Plavix
Scabies,Permethrin
Diarrhea,Imodium A-D
Cold Symptoms,Vicks Nyquil D Cold and Flu Nighttime Relief
Acne,Fabior
Dietary Supplementation,Arginine
Acute Coronary Syndrome,Brilinta
Birth Control,Camila
Prostate Cance,Abiraterone
"Nausea/Vomiting, Chemotherapy Induced",Aprepitant
Hepatitis C,Peginterferon alfa-2a
Dermatitis,Aloe vera / hydrocortisone / iodoquinol
Migraine,Fiorinal
Opiate Withdrawal,Dolophine
Non-Small Cell Lung Cance,Iressa
"COPD, Acute",Levalbuterol
High Blood Pressure,Hydrochlorothiazide / valsartan
Tonsillitis/Pharyngitis,Trocaine
High Blood Pressure,Avapro
Acne,PanOxyl
Influenza Prophylaxis,FluMist
Constipation,Glycerin
High Blood Pressure,Hydrochlorothiazide / moexipril
High Blood Pressure,Hydrochlorothiazide / triamterene
Heart Attack,Nitrolingual Pumpspray
Smoking Cessation,Nicorette
Idiopathic Thrombocytopenic Purpura,Romiplostim
High Blood Pressure,Zestoretic
Irritable Bowel Syndrome,Levsin
Cold Symptoms,Sudafed PE Severe Cold
Vaginal Yeast Infection,Gynazole-1
COPD,Aclidinium
"Diabetes, Type 2",Avandia
"Diabetes, Type 2",Tradjenta
Hypoactive Sexual Desire Disorde,Addyi
High Cholesterol,Zocor
Schizophrenia,Fanapt
Angina,Ranolazine
Motion Sickness,Cyclizine
High Blood Pressure,Azilsartan medoxomil
"Nausea/Vomiting, Chemotherapy Induced",Marinol
Pain,Naloxone / pentazocine
Chronic Pain,Roxicet
Acne,Benzoyl peroxide / hydrocortisone
Dientamoeba fragilis,Paromomycin
Diabetic Peripheral Neuropathy,Nucynta ER
Hyperphosphatemia of Renal Failure,Ferric citrate
Hyperphosphatemia of Renal Failure,Fosrenol
Anesthesia,Pentothal
Back Pain,Oruvail
Seizures,Zonegran
Seizures,Brivaracetam
Pain,Tiger Balm
Conjunctivitis,Alrex
"COPD, Acute",Primatene Mist
Stomach Ulce,Calcium carbonate
Edema,Triamterene
Not Listed / Othe,Electrolyte replacement solutions
Schizophrenia,Abilify Maintena
Depression,Remeron SolTab
"Gout, Acute",Nalfon
Anxiety,Stelazine
Back Pain,Advil
"COPD, Maintenance",Albuterol / ipratropium
High Cholesterol,Pravastatin
Chronic Pain,Xtampza ER
Dumping Syndrome,Methscopolamine
High Blood Pressure,Hydrochlorothiazide / losartan
Myelodysplastic Syndrome,Azacitidine
Irritable Bowel Syndrome,Donnatal
Menorrhagia,Lysteda
Erectile Dysfunction,Edex
Psoriasis,Fluocinonide
Seizures,Briviact
Insomnia,Triazolam
Neuralgia,Lioresal
High Cholesterol,Red yeast rice
Hypodermoclysis,Hyaluronidase
Cough,Hycodan
Endometrial Cance,Megace
Atopic Dermatitis,Crisaborole
Opioid Overdose,Naloxone
High Blood Pressure,Pindolol
GERD,Zantac 150
Tinea Corporis,Lamisil AT
Seizure Prevention,Qudexy XR
Actinic Keratosis,Ingenol
"Asthma, Maintenance",Asmanex Twisthaler
Vitamin/Mineral Supplementation and Deficiency,Chromium picolinate
Intraocular Hypertension,Bimatoprost
Hyperhidrosis,Xerac AC
Birth Control,Ethinyl estradiol / ethynodiol
"Asthma, acute",Ventolin HFA
"Diabetes, Type 2",Glucophage
Hyperphosphatemia of Renal Failure,Sevelamer
Acne,Avita
Birth Control,Alyacen 1 / 35
Pain,Lanacane
Dietary Supplementation,Magnesium gluconate
Hereditary Angioedema,Icatibant
Condylomata Acuminata,Condylox
Breast Cance,Aromasin
Hypoestrogenism,Climara
Benign Prostatic Hyperplasia,Uroxatral
"Hashimoto's disease",Levo-T
Topical Disinfection,Povidone iodine
"Melanoma, Metastatic",Pembrolizumab
"Gout, Acute",Advil Liqui-Gels
ADHD,Catapres
Underactive Thyroid,NP Thyroid
min),Linagliptin / metformin
Birth Control,Natazia
Osteoporosis,Fosamax
Seizures,Tiagabine
Acne,Tri-Linyah
Migraine,Almotriptan
Pain,"Children's Motrin"
Chronic Spasticity,Lioresal Intrathecal
Intermittent Claudication,Pentoxifylline
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Neevo DHA
Heart Failure,Sacubitril / valsartan
High Blood Pressure,Edarbyclor
Acne,Minocin
Acute Coronary Syndrome,Prasugrel
Irritable Bowel Syndrome,Xifaxan
Pain,Meperitab
"Asthma, acute",Ventolin
Pain,Tylenol with Codeine #4
Irritable Bowel Syndrome,Phenohytro
Chronic Pain,Morphine / naltrexone
Pulmonary Hypertension,Treprostinil
"COPD, Maintenance",Combivent Respimat
Tinea Corporis,Oxiconazole
Neutropenia Associated with Chemotherapy,Pegfilgrastim
Pain,Darvon
Overactive Bladde,Urispas
Pain,Bupivacaine liposome
Hepatitis C,Copegus
"Diabetes, Type 2",Insulin detemir
"Parkinson's Disease",Rasagiline
Renal Cell Carcinoma,Nivolumab
Acne,Epiduo Forte
"Diabetes, Type 1",Humalog KwikPen
Atrial Fibrillation,Multaq
GERD,Prilosec OTC
ADHD,Ritalin LA
"Hypogonadism, Male",Androderm
Diabetes Insipidus,DDAVP
"Breast Cancer, Metastatic",Capecitabine
